Timestamp,Occupancy,Capacity,QueueLength,TrafficConditionNearby,VehicleType,IsSpecialDay
2016-10-04 07:59:00,61,577,1,low,car,0
2016-10-04 07:59:00,237,1200,2,low,bike,0
2016-10-04 07:59:00,264,687,2,low,car,0
2016-10-04 07:59:00,249,485,2,low,car,0
2016-10-04 07:59:00,614,1920,2,low,cycle,0
2016-10-04 07:59:00,117,470,2,low,car,0
2016-10-04 07:59:00,178,690,2,low,car,0
2016-10-04 07:59:00,445,1322,3,average,bike,0
2016-10-04 07:59:00,709,2009,2,low,car,0
2016-10-04 07:59:00,195,2803,1,low,car,0
2016-10-04 07:59:00,120,387,2,low,car,0
2016-10-04 07:59:00,1081,3883,2,low,car,0
2016-10-04 07:59:00,547,2937,2,low,bike,0
2016-10-04 07:59:00,588,3103,2,average,car,0
2016-10-04 08:25:00,478,1322,2,low,truck,0
2016-10-04 08:25:00,267,485,2,low,truck,0
2016-10-04 08:25:00,780,2009,3,average,car,0
2016-10-04 08:25:00,665,2937,2,low,car,0
2016-10-04 08:25:00,1467,3883,3,low,bike,0
2016-10-04 08:25:00,129,387,2,average,car,0
2016-10-04 08:25:00,302,687,1,low,car,0
2016-10-04 08:25:00,174,470,1,low,bike,0
2016-10-04 08:25:00,678,3103,3,average,bike,0
2016-10-04 08:25:00,269,690,2,low,car,0
2016-10-04 08:25:00,238,2803,2,average,car,0
2016-10-04 08:25:00,761,1920,2,low,car,0
2016-10-04 08:25:00,315,1200,2,low,bike,0
2016-10-04 08:25:00,64,577,1,low,car,0
2016-10-04 08:59:00,518,1322,3,average,car,0
2016-10-04 08:59:00,155,387,2,low,car,0
2016-10-04 08:59:00,323,2803,2,low,car,0
2016-10-04 08:59:00,958,1920,2,low,car,0
2016-10-04 08:59:00,2007,3883,2,low,car,0
2016-10-04 08:59:00,415,690,3,low,bike,0
2016-10-04 08:59:00,278,485,2,low,car,0
2016-10-04 08:59:00,269,470,2,low,truck,0
2016-10-04 08:59:00,346,687,2,low,truck,0
2016-10-04 08:59:00,80,577,2,low,car,0
2016-10-04 08:59:00,792,3103,3,low,car,0
2016-10-04 08:59:00,441,1200,2,low,car,0
2016-10-04 08:59:00,848,2937,2,low,bike,0
2016-10-04 08:59:00,864,2009,2,low,car,0
2016-10-04 09:32:00,351,470,3,low,cycle,0
2016-10-04 09:32:00,204,387,2,low,cycle,0
2016-10-04 09:32:00,1036,2937,3,low,car,0
2016-10-04 09:32:00,590,1322,3,low,cycle,0
2016-10-04 09:32:00,530,690,2,low,car,0
2016-10-04 09:32:00,932,3103,3,low,car,0
2016-10-04 09:32:00,420,2803,2,low,bike,0
2016-10-04 09:32:00,1004,2009,3,low,car,0
2016-10-04 09:32:00,107,577,2,low,car,0
2016-10-04 09:32:00,1121,1920,3,low,cycle,0
2016-10-04 09:32:00,2502,3883,3,low,bike,0
2016-10-04 09:32:00,414,687,2,low,truck,0
2016-10-04 09:32:00,552,1200,2,low,bike,0
2016-10-04 09:32:00,302,485,3,low,truck,0
2016-10-04 09:59:00,638,1200,2,low,car,0
2016-10-04 09:59:00,1254,1920,3,low,truck,0
2016-10-04 09:59:00,657,1322,3,low,truck,0
2016-10-04 09:59:00,397,470,2,low,bike,0
